Unnamed: 0,link,text,user,likes,quotes,retweets,comments,cleaned_text
72,https://twitter.com/elonmusk/status/1798718549307109867#m,"Despite loss of many tiles and a damaged flap, Starship made it all the way to a soft landing in the ocean!  Congratulations @SpaceX team on an epic achievement!!",Elon Musk,211131,1342,19302,8287,Despite loss many tile damaged flap Starship made way soft landing ocean Congratulations SpaceX team epic achievement
73,https://twitter.com/SpaceX/status/1798699175573700929#m,Liftoff of Starship!,SpaceX,57635,1299,10008,1366,Liftoff Starship
74,https://twitter.com/SpaceX/status/1798699979336544647#m,Starship’s Raptor engines have ignited during hot-staging separation. Super Heavy is executing the flip maneuver and boostback burn,SpaceX,23498,115,3010,330,Starships Raptor engine ignited hotstaging separation Super Heavy executing flip maneuver boostback burn
75,https://twitter.com/SpaceX/status/1798700284191166849#m,Hot stage jettison,SpaceX,31130,169,3732,424,Hot stage jettison
76,https://twitter.com/SpaceX/status/1798701489097183286#m,Super Heavy has splashed down in the Gulf of Mexico,SpaceX,79050,2931,13756,2440,Super Heavy splashed Gulf Mexico
77,https://twitter.com/elonmusk/status/1798706177553121357#m,Successful soft landing of the Starship Super Heavy rocket booster!,Elon Musk,230084,940,19193,6059,Successful soft landing Starship Super Heavy rocket booster
78,https://twitter.com/elonmusk/status/1798704747282890850#m,External camera comes online in 11 mins,Elon Musk,14858,130,1385,1030,External camera come online 11 min
79,https://twitter.com/elonmusk/status/1798703949714985032#m,We do actually have acquisition signal. 11 internal cameras are transmitting. Figuring out why external cameras aren’t.,Elon Musk,12343,98,1169,615,actually acquisition signal 11 internal camera transmitting Figuring external camera arent
80,https://twitter.com/elonmusk/status/1798698658772525069#m,https://twitter.com/i/broadcasts/1OwxWYzDXjWGQ,Elon Musk,67204,998,11064,7785,
81,https://twitter.com/elonmusk/status/1798556629920559164#m,Launch tmrw morning at 7:20 Texas time,Elon Musk,295894,1349,20396,8118,Launch tmrw morning 720 Texas time
82,https://twitter.com/elonmusk/status/1798504201196368219#m,"Yeah, @Jack is right",Elon Musk,203465,3862,35473,11570,Yeah Jack right
83,https://twitter.com/elonmusk/status/1798494289280020989#m,How to vote your Tesla shares,Elon Musk,23999,201,3226,1969,vote Tesla share
84,https://twitter.com/elonmusk/status/1798493697904189580#m,Streaming live exclusively on this platform!,Elon Musk,59380,287,6761,2574,Streaming live exclusively platform
85,https://twitter.com/elonmusk/status/1798493500918714859#m,🤔,Elon Musk,280606,2906,72604,11824,
86,https://twitter.com/elonmusk/status/1798486554337563118#m,Ron Baron is awesome,Elon Musk,58078,223,7369,2443,Ron Baron awesome
87,https://twitter.com/elonmusk/status/1798401666267357650#m,ESG is a corrupted lie.   It needs to end.,Elon Musk,156576,1206,25882,7416,ESG corrupted lie need end
88,https://twitter.com/TeslaBoomerMama/status/1798374807291167185#m,"🚨🇬🇧🇪🇺🇦🇺🗺️  To everyone outside of the US who could not vote, there is a last minute solution, but you need to act NOW.  Listen here, instructions below.  Please share this to everyone.  #VotedTesla24",Ale𝕏andra Merz,7120,110,1744,584,everyone outside US could vote last minute solution need act Listen instruction Please share everyone VotedTesla24
89,https://twitter.com/NASA/status/1798369195362787377#m,"Starliner to the stars! ✨  At 10:52am ET, @BoeingSpace #Starliner lifted off on a @ULALaunch Atlas V for the first time with @NASA_Astronauts aboard. This Crew Flight Test aims to certify the spacecraft for routine space travel to and from the @Space_Station.",NASA,12332,277,2260,680,Starliner star 1052am ET BoeingSpace Starliner lifted ULALaunch Atlas V first time NASA_Astronauts aboard Crew Flight Test aim certify spacecraft routine space travel Space_Station
90,https://twitter.com/elonmusk/status/1798371834557313322#m,Congratulations on a successful launch!,Elon Musk,95095,349,8468,2944,Congratulations successful launch
91,https://twitter.com/elonmusk/status/1798360824853282923#m,"I’m glad the government of Japan recognizes the importance of this matter.  If radical action isn’t taken, Japan (and many other countries) will disappear!",Elon Musk,84214,1595,14451,8485,Im glad government Japan recognizes importance matter radical action isnt taken Japan many country disappear
92,https://twitter.com/elonmusk/status/1798356118923841580#m,Thanks Ron!,Elon Musk,62493,301,8395,2346,Thanks Ron
93,https://twitter.com/elonmusk/status/1798348864296247416#m,The @SpaceX Starship launch tomorrow morning will be live-streamed exclusively on 𝕏!,Elon Musk,119349,1065,11971,7680,SpaceX Starship launch tomorrow morning livestreamed exclusively 𝕏
94,https://twitter.com/MachinePix/status/1798023608339722292#m,F-22 Raptor Aerial Demonstration Team chasing a SpaceX Falcon 9 Rocket carrying a US Space Force payload.,MachinePix,10644,140,1452,472,F22 Raptor Aerial Demonstration Team chasing SpaceX Falcon 9 Rocket carrying US Space Force payload
95,https://twitter.com/elonmusk/status/1798338630471364871#m,Livestream of the first @BoeingSpace Starliner to @Space_Station. Wishing them best of luck!,Elon Musk,44041,283,5124,2240,Livestream first BoeingSpace Starliner Space_Station Wishing best luck
96,https://twitter.com/elonmusk/status/1798225136610623899#m,We should update how we dress for the future!,Elon Musk,15945,164,1178,2155,update dress future
97,https://twitter.com/astro_greek/status/1798211501326762032#m,".@elonmusk left Instagram because he started taking too many selfies 😂  ""What the hell is wrong with me?""",🚀 Technodoge 🔴 (Fan Account),9771,71,1034,942,elonmusk left Instagram started taking many selfies hell wrong
98,https://twitter.com/BaronCapital/status/1798035203488903650#m,"Baron Capital CEO Ron Baron will appear on @SquawkCNBC tomorrow, June 5 at 7:30 a.m. ET. Please tune in!",Baron Capital,4298,39,750,219,Baron Capital CEO Ron Baron appear SquawkCNBC tomorrow June 5 730 ET Please tune
99,https://twitter.com/elonmusk/status/1798224002340790595#m,,Elon Musk,705252,2728,43986,7764,
